index,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,year,month,day,sales
319154,866,5,445,1,0,0,0,2015,4,24,22707
166603,222,6,367,1,0,0,0,2013,9,28,23625
428262,476,2,753,1,1,0,0,2013,9,24,20570
20314,800,1,494,1,0,0,0,2014,5,26,23801
603091,330,1,408,1,0,0,0,2014,3,24,18067
500421,507,3,648,1,1,0,0,2015,1,7,24923
388016,98,7,0,0,0,0,0,2013,6,2,51
268257,1026,2,1044,1,0,0,0,2014,1,28,21382
216326,990,5,719,1,0,0,0,2013,10,4,21433
40755,8,6,345,1,0,0,0,2015,1,10,24081
8654,611,3,566,1,1,0,1,2013,7,31,18552
37301,257,2,777,1,1,0,0,2013,8,13,23463
485623,840,4,1189,1,1,0,0,2015,4,16,28533
214073,848,5,998,1,1,0,1,2015,7,31,25956
406145,124,6,297,1,0,0,0,2014,7,12,22199
397642,1028,2,438,1,0,0,1,2013,12,31,25795
273960,95,2,1099,1,1,0,0,2013,9,24,25773
12104,208,1,323,1,0,0,0,2013,10,28,24276
361202,249,2,449,1,0,0,0,2014,7,8,24583
79347,887,3,614,1,1,0,0,2013,3,20,20986
462803,73,1,601,1,1,0,1,2014,4,28,27086
141713,13,4,501,1,1,0,1,2015,4,2,29014
703618,1049,2,580,1,0,0,1,2013,9,3,21387
308360,144,4,769,1,1,0,0,2015,2,5,23835
317995,847,3,1018,1,1,0,1,2013,8,14,21733
364408,796,3,717,1,0,0,0,2013,5,8,24435
27886,396,4,1139,1,0,0,0,2015,6,11,23060
706814,1080,7,0,0,0,0,0,2013,9,15,159
514516,675,5,338,1,0,0,0,2014,9,26,14235
577373,1099,1,1236,1,1,0,0,2014,12,1,16497
190561,791,1,858,1,0,0,0,2015,5,11,24722
92512,1014,2,1476,1,0,0,0,2015,3,24,22540
565163,487,2,737,1,1,0,0,2014,11,4,25274
500246,427,3,701,1,0,0,1,2013,2,13,20098
223708,254,5,282,1,1,0,0,2014,11,14,23026
555732,43,5,710,1,0,0,0,2014,1,31,27978
654150,1074,2,421,1,0,0,0,2015,6,9,20896
558350,549,6,380,1,0,0,0,2013,6,29,21978
52167,1095,2,720,1,1,0,0,2013,1,8,17331
296981,295,1,612,1,0,0,1,2013,10,28,19839
332143,319,1,863,1,0,0,1,2013,10,14,22120
426553,1002,4,642,1,0,0,0,2014,4,10,20746
481847,448,6,544,1,0,0,0,2014,12,6,23074
100496,527,2,1046,1,0,0,1,2013,9,3,22059
706377,255,5,652,1,1,0,0,2013,4,12,23518
599169,581,5,651,1,1,0,0,2014,7,4,18093
55294,185,6,550,1,0,0,0,2013,1,5,22026
218737,244,6,538,1,0,0,0,2014,11,22,24405
266706,1082,6,877,1,0,0,0,2013,1,5,18466
441953,216,5,837,1,1,0,0,2015,3,20,24432
127184,350,4,508,1,1,0,0,2015,3,5,15064
312223,748,1,822,1,1,0,0,2014,3,31,22834
583377,718,1,962,1,0,0,0,2014,12,8,16357
523743,739,5,789,1,1,0,0,2014,2,21,16472
476775,614,7,0,0,0,0,0,2014,12,21,30
620142,673,2,615,1,1,0,0,2014,2,18,14568
460092,83,1,367,1,0,0,0,2013,6,10,27375
169260,976,3,598,1,0,0,0,2013,9,18,19023
177084,637,6,518,1,0,0,0,2013,4,6,21912
645354,122,2,714,1,1,0,0,2014,1,7,24330
645737,898,1,1013,1,1,0,0,2014,11,24,22767
272578,1080,4,710,1,0,0,0,2014,6,26,18534
600374,291,1,1290,1,1,0,0,2015,3,30,26873
566038,24,4,711,1,0,0,1,2013,1,3,22958
381862,1096,7,0,0,0,0,0,2013,8,18,0
535335,637,5,860,1,0,0,0,2014,5,30,24557
499411,1002,2,850,1,1,0,0,2015,6,2,23867
625219,666,1,497,1,0,0,0,2014,3,10,15482
61823,1089,7,0,0,0,0,0,2013,11,24,12
653471,334,6,515,1,0,0,0,2013,8,31,18668
441789,300,6,951,1,0,0,1,2014,8,30,21285
155435,207,1,1166,1,0,0,0,2014,9,22,24787
226567,683,3,854,1,0,0,0,2015,5,27,15997
107330,1094,2,394,1,1,0,0,2013,5,14,17680
149417,700,4,576,1,0,0,0,2015,7,9,19617
191690,959,2,744,1,0,0,0,2014,8,26,19928
146544,766,7,0,0,0,0,0,2014,6,22,15
383603,1011,6,977,1,0,0,0,2013,6,8,22639
452941,570,5,676,1,0,0,0,2013,12,13,21302
629103,685,2,689,1,1,0,0,2013,9,10,19175
30258,158,3,681,1,1,0,1,2014,4,16,27010
219501,66,5,522,1,0,0,1,2015,5,29,27365
528607,76,2,1080,1,1,0,0,2013,7,30,26061
397525,572,3,458,1,0,0,0,2013,10,16,19336
314281,184,6,510,1,0,0,0,2014,10,11,22289
489418,1034,5,775,1,1,0,0,2013,12,6,28118
182776,559,7,0,0,0,0,0,2013,8,11,0
335928,862,2,1561,1,0,0,1,2014,12,23,25405
198358,171,2,962,1,1,0,0,2014,11,11,27473
400219,33,7,0,0,0,0,0,2014,12,7,109
427476,936,4,963,1,1,0,0,2014,11,27,20916
31892,948,2,1682,1,1,0,0,2014,2,18,13825
109374,371,6,551,1,0,0,0,2013,5,4,21632
385320,242,1,378,1,1,0,0,2014,5,5,25509
517169,133,5,622,1,0,0,0,2014,1,17,23034
369733,1031,1,681,1,1,0,0,2014,12,15,28605
71343,850,4,710,1,1,0,0,2013,2,7,22120
42363,860,5,833,1,1,0,0,2015,6,5,22684
612665,836,6,301,1,0,0,0,2013,7,6,21935
428563,965,6,908,1,0,0,0,2013,11,30,23120
610249,1096,1,763,1,1,0,0,2015,1,26,19123
669222,504,3,836,1,1,0,1,2014,9,3,25542
484348,230,1,1327,1,0,0,1,2013,12,30,29442
194089,826,1,1170,1,1,0,0,2013,12,2,27214
328888,975,2,767,1,1,0,1,2013,7,30,22834
485880,602,2,547,1,0,0,1,2014,10,28,17509
699868,953,5,553,1,1,0,0,2014,9,19,21548
265929,187,6,491,1,0,0,0,2013,11,2,24372
154648,792,5,599,1,0,0,0,2013,10,18,24145
376328,1035,4,744,1,1,0,0,2014,11,27,26115
530275,523,3,1515,1,1,0,1,2015,7,29,24338
441109,723,4,461,1,0,0,1,2013,4,4,13056
26050,1025,7,0,0,0,0,0,2013,5,26,0
247671,18,7,0,0,0,0,0,2015,1,4,0
615467,997,3,378,1,1,0,1,2014,9,3,25466
267972,400,6,805,1,0,0,0,2013,10,5,19895
22318,1047,2,491,1,0,0,0,2013,7,9,20783
430083,819,1,472,1,0,0,0,2013,9,2,23933
510014,668,1,1562,1,1,0,0,2014,6,2,19040
343803,585,4,666,1,0,0,0,2015,1,22,18136
85161,99,1,404,1,0,0,0,2014,3,10,29170
505852,965,6,847,1,0,0,0,2014,11,22,20807
266131,590,4,376,1,1,0,0,2013,2,21,18943
397091,709,2,1682,1,1,0,0,2015,6,2,16004
112013,58,7,0,0,0,0,0,2013,10,20,0
492019,409,7,0,0,0,0,0,2014,2,9,80
73240,850,6,826,1,0,0,0,2015,4,4,24212
203948,1058,3,737,1,1,0,0,2013,3,6,20163
603210,1067,7,0,0,0,0,0,2014,4,13,71
82813,777,1,0,0,0,2,1,2014,4,21,0
634511,155,3,632,1,1,0,0,2014,5,21,26760
28171,598,1,871,1,1,0,0,2015,6,29,22734
198571,493,2,902,1,1,0,0,2014,7,1,24902
70073,628,7,0,0,0,0,1,2014,8,3,0
551321,524,1,1193,1,0,0,1,2013,12,30,27443
509286,966,4,585,1,0,0,1,2013,4,4,21122
24413,1022,5,791,1,0,0,1,2013,12,27,25303
367168,380,3,1720,1,1,0,0,2014,3,5,24579
103724,132,3,579,1,1,0,0,2015,1,14,23585
704886,400,5,999,1,0,0,0,2015,6,26,20035
568270,988,4,790,1,1,0,0,2013,8,29,21635
627934,906,2,1476,1,1,0,0,2013,3,19,22517
520091,1028,2,689,1,1,0,0,2013,11,5,23995
505933,1100,6,484,1,0,0,0,2013,3,23,15635
67603,759,1,607,1,0,0,0,2013,1,14,8732
96570,223,1,716,1,0,0,0,2014,10,27,24923
696883,936,7,0,0,0,0,0,2015,3,15,0
216455,780,6,341,1,0,0,0,2015,7,11,25587
472114,259,5,2677,1,1,0,0,2014,11,28,22948
437836,131,6,582,1,0,0,0,2013,11,9,22253
467331,251,3,2241,1,1,0,0,2015,1,28,26501
423483,1079,6,517,1,0,0,0,2015,1,17,19360
533535,1003,3,1029,1,1,0,0,2014,3,5,21584
82465,980,4,450,1,0,0,0,2013,9,5,20174
245480,654,2,766,1,1,0,0,2015,1,27,16509
155723,966,4,517,1,0,0,1,2013,7,25,19928
167485,1020,1,929,1,0,0,0,2014,9,22,20757
574217,969,3,610,1,1,0,0,2014,3,19,20688
307718,1038,2,490,1,0,0,1,2015,4,7,21766
250666,516,3,453,1,0,0,1,2014,7,9,22347
233447,733,1,3171,1,0,0,0,2013,1,14,13707
9408,595,6,1881,1,0,0,0,2014,5,31,22169
532318,260,3,962,1,1,0,1,2014,7,16,20379
213221,768,6,1251,1,0,0,0,2013,2,2,10162
149118,940,1,627,1,0,0,0,2013,1,14,17752
643815,364,4,563,1,0,0,0,2013,6,27,19930
205464,506,3,763,1,0,0,1,2015,7,22,23074
172737,671,3,507,1,1,0,1,2013,5,29,15186
358803,300,6,862,1,0,0,0,2015,1,24,19643
432064,84,2,1563,1,1,0,0,2014,6,17,27824
243176,219,4,455,1,1,0,0,2015,5,7,25831
165487,934,5,764,1,1,0,0,2013,3,22,20195
206630,125,3,1906,1,1,0,1,2015,4,1,28009
380228,176,3,757,1,1,0,0,2013,12,4,28642
278339,223,2,675,1,0,0,0,2013,11,26,26948
125602,326,1,429,1,1,0,0,2014,7,14,22168
707930,339,2,745,1,1,0,0,2013,8,27,21831
647013,872,3,659,1,0,0,1,2015,4,8,23747
404917,579,7,0,0,0,0,0,2014,11,23,25
607690,974,5,1599,1,0,0,0,2014,2,28,20732
63394,979,7,0,0,0,0,0,2015,4,12,16
334403,880,3,806,1,1,0,0,2014,6,4,21222
440195,910,7,0,0,0,0,0,2013,3,31,16
87636,1084,6,614,1,0,0,0,2015,7,4,22036
189540,92,5,453,1,0,0,0,2015,6,12,26409
18218,14,6,402,1,0,0,0,2015,6,20,22599
396021,587,1,960,1,0,0,1,2013,12,30,23627
442052,230,4,856,1,1,0,0,2013,10,24,25891
397202,689,6,589,1,0,0,0,2014,3,15,18478
251121,599,1,1096,1,1,0,0,2013,5,13,21580
463013,596,7,0,0,0,0,0,2013,12,22,0
655331,576,1,749,1,0,0,0,2013,3,11,18062
327407,141,4,493,1,0,0,0,2014,6,26,23309
355157,751,1,0,0,0,2,1,2014,4,21,38
654124,877,5,925,1,0,0,0,2013,3,1,22964
602473,375,2,948,1,1,0,0,2013,4,23,20005
414480,230,1,988,1,0,0,0,2014,12,8,28619
574764,545,3,1087,1,1,0,0,2014,1,22,22654
136740,1022,1,1093,1,1,0,0,2013,3,4,26217
240843,597,3,756,1,1,0,1,2014,8,20,19382
130323,559,7,0,0,0,0,0,2014,6,8,0
688030,1024,6,825,1,0,0,0,2015,7,18,22071
43133,36,2,1205,1,1,0,0,2015,3,17,26877
172856,702,2,351,1,1,0,1,2013,5,28,15398
446048,623,7,0,0,0,0,0,2013,2,10,121
36534,105,4,483,1,0,0,0,2013,10,17,23812
612801,902,2,648,1,1,0,0,2013,11,19,21022
256750,11,6,786,1,0,0,0,2015,4,11,23000
623446,1039,5,629,1,0,0,0,2013,6,28,22027
63314,102,1,1174,1,1,0,0,2015,2,16,23305
238452,543,5,175,1,0,0,1,2013,10,18,19977
43919,827,4,1910,1,0,0,1,2014,1,2,23499
258378,110,3,647,1,1,0,0,2014,10,8,23851
59774,945,1,698,1,1,0,1,2015,1,5,14733
31637,582,3,749,1,0,0,0,2014,3,12,17363
673741,554,4,428,1,0,0,0,2014,1,16,21287
659942,486,2,384,1,0,0,1,2014,7,8,21883
349639,637,6,520,1,0,0,0,2014,2,15,21848
394865,806,5,578,1,0,0,0,2014,1,31,25403
255648,887,6,462,1,0,0,0,2014,6,21,19840
379128,374,6,668,1,0,0,0,2015,4,4,23809
540897,1025,5,804,1,0,0,1,2013,1,4,22180
662220,638,2,431,1,0,0,1,2013,8,6,21554
160268,123,6,490,1,0,0,0,2015,5,9,23301
654290,905,4,1108,1,1,0,0,2015,2,19,20075
599039,536,5,989,1,0,0,1,2013,4,5,22358
651027,763,7,0,0,0,0,0,2015,2,1,12
553569,191,6,694,1,0,0,0,2013,8,10,22731
271750,957,4,948,1,1,0,0,2014,2,20,20826
709864,268,4,618,1,1,0,0,2015,6,4,22524
300796,654,6,266,1,0,0,0,2013,9,7,16169
413674,612,6,388,1,0,0,0,2013,9,7,14692
8402,747,3,567,1,0,0,1,2014,8,27,15920
310059,656,6,380,1,0,0,0,2013,5,18,16534
319105,368,5,592,1,0,0,1,2013,4,5,22899
689752,959,3,552,1,0,0,0,2013,9,18,19219
516276,329,2,708,1,1,0,0,2015,2,3,20044
338342,97,3,535,1,0,0,1,2015,7,22,26736
666229,314,2,661,1,1,0,1,2013,8,13,22172
8353,463,7,0,0,0,0,0,2015,1,11,0
386012,258,1,0,0,0,1,0,2013,5,20,168
471619,283,3,621,1,0,0,0,2013,11,13,20869
612347,556,1,754,1,0,0,0,2013,4,15,21318
514445,388,5,1211,1,1,0,0,2014,1,24,21698
396179,67,3,837,1,1,0,1,2014,9,3,23623
590638,725,5,677,1,1,0,0,2015,1,16,16999
683448,219,4,416,1,1,0,0,2013,6,6,24224
218062,1077,2,479,1,0,0,0,2015,2,10,21400
706606,322,4,589,1,0,0,0,2013,5,23,21368
453487,814,3,581,1,1,0,1,2013,2,20,25474
240904,134,7,0,0,0,0,0,2013,6,30,0
326681,54,4,657,1,0,0,0,2013,7,11,28805
272937,662,5,854,1,1,0,0,2013,4,26,15895
11415,126,7,0,0,0,0,0,2015,4,19,0
436957,1001,6,471,1,0,0,0,2013,11,30,25745
171033,657,4,598,1,0,0,0,2014,2,13,16122
632521,590,4,319,1,0,0,0,2013,3,14,18455
179002,193,3,0,0,0,3,1,2013,12,25,200
345971,168,6,465,1,0,0,0,2013,9,21,23058
463457,16,1,839,1,0,0,0,2013,7,22,22313
674866,244,1,738,1,1,0,0,2013,2,4,25114
479231,545,7,0,0,0,0,0,2015,2,8,100
369184,1032,6,492,1,0,0,0,2013,1,19,24527
564608,290,5,987,1,1,0,0,2013,5,31,24334
421305,548,4,335,1,1,0,0,2013,1,24,23774
312789,733,1,3508,1,1,0,1,2014,8,4,17439
548456,654,4,716,1,1,0,0,2013,6,6,16762
195259,272,6,377,1,0,0,0,2013,5,4,19177
669573,1017,3,1176,1,1,0,0,2013,3,20,23401
599293,708,2,462,1,1,0,0,2014,5,20,14736
33900,819,4,454,1,1,0,0,2015,1,8,24393
74619,99,3,372,1,0,0,0,2013,6,26,26587
284898,982,2,710,1,0,0,0,2013,12,10,23409
402135,683,5,0,0,1,2,1,2015,4,3,0
447277,194,3,373,1,0,0,0,2013,10,16,23757
588164,853,2,1201,1,1,0,0,2015,6,30,25069
456931,53,1,650,1,1,0,1,2014,4,28,34250
221701,281,4,508,1,1,0,0,2013,2,7,22036
535271,101,2,879,1,1,0,0,2014,9,2,24070
171677,440,5,769,1,1,0,1,2015,6,5,20800
226127,994,2,435,1,1,0,0,2014,3,18,23880
414979,168,2,930,1,1,0,1,2013,7,30,27532
500051,48,7,0,0,0,0,0,2013,10,27,0
329177,652,6,501,1,0,0,0,2014,2,15,16841
541113,934,6,474,1,0,0,0,2014,1,11,18145
124681,223,6,589,1,0,0,0,2014,3,29,25320
284177,378,5,0,0,0,3,1,2014,12,26,87
90749,865,3,624,1,1,0,0,2013,7,17,21061
237894,466,5,861,1,0,0,0,2014,1,31,22406
506152,789,5,546,1,0,0,0,2014,2,14,24570
622882,61,7,0,0,0,0,0,2015,6,7,0
34430,765,4,1068,1,1,0,0,2013,12,19,14918
268594,673,1,500,1,0,0,0,2015,2,23,15265
368485,258,3,444,1,0,0,0,2014,6,25,22763
602478,740,3,499,1,1,0,0,2014,10,8,16327
202788,1080,1,764,1,0,0,0,2013,9,16,17047
675955,918,5,661,1,1,0,0,2014,6,20,20577
611958,857,6,1004,1,0,0,0,2013,6,22,19810
597571,837,1,482,1,1,0,0,2013,7,1,23148
317074,516,7,0,0,0,0,0,2015,3,1,0
380943,446,2,505,1,0,0,0,2014,5,27,20744
649251,835,4,0,0,1,1,0,2013,5,30,10
386136,140,7,0,0,0,0,0,2013,2,3,66
411910,207,3,1584,1,1,0,0,2013,8,14,25546
119756,961,4,668,1,1,0,0,2015,1,29,21974
251963,772,2,507,1,1,0,0,2014,3,18,26407
292719,1089,2,1050,1,1,0,0,2014,9,2,22825
77065,521,3,421,1,1,0,0,2014,3,5,24189
206967,823,5,600,1,0,0,0,2014,1,17,22832
521339,436,6,426,1,0,0,0,2013,9,14,19667
363365,483,7,0,0,0,0,0,2014,3,9,0
481077,215,2,333,1,0,0,0,2014,3,25,24688
711386,109,5,802,1,0,0,0,2015,5,29,25973
66970,858,1,590,1,1,0,0,2013,12,16,26820
435729,425,4,501,1,1,0,0,2015,3,5,18369
426284,357,5,905,1,0,0,1,2015,7,24,18767
435236,255,1,575,1,1,0,0,2015,2,2,24618
199039,798,6,343,1,0,0,0,2015,2,7,25058
99250,366,6,304,1,0,0,0,2013,3,23,22658
580140,534,2,510,1,0,0,1,2015,4,7,22340
254820,179,5,1176,1,1,0,0,2014,6,20,24693
155130,258,2,464,1,0,0,1,2013,9,3,24183
503682,693,5,384,1,0,0,1,2014,8,29,19208
288534,999,4,685,1,1,0,1,2013,10,24,24039
67050,834,6,492,1,0,0,0,2014,4,19,22609
174771,512,4,1410,1,0,0,1,2013,10,31,25607
442288,818,2,662,1,1,0,0,2013,4,23,25500
606734,534,6,606,1,0,0,0,2013,10,12,23011
431156,1084,2,1099,1,1,0,0,2013,12,17,25625
424121,34,2,861,1,0,0,0,2015,3,10,26757
557753,101,4,686,1,0,0,0,2014,3,27,23988
520831,187,1,885,1,1,0,0,2015,3,2,25569
376589,20,1,1041,1,1,0,0,2013,9,23,22700
7670,828,7,0,0,0,0,0,2014,10,26,2
303546,434,1,823,1,1,0,1,2013,8,12,22529
236740,738,1,864,1,1,0,0,2015,5,4,18952
145734,351,5,569,1,1,0,0,2014,3,7,14982
134420,1020,4,905,1,0,0,0,2014,1,30,24003
691699,86,7,0,0,0,0,0,2013,8,11,0
233889,266,3,573,1,1,0,0,2015,6,17,25342
653554,608,5,1024,1,1,0,0,2014,6,20,20680
481046,708,5,493,1,1,0,1,2014,2,21,14864
423103,734,3,605,1,1,0,0,2014,2,5,14869
693486,776,7,0,0,0,0,0,2015,6,7,0
90193,1060,2,853,1,1,0,0,2013,4,9,20382
119482,182,2,507,1,1,0,0,2014,4,29,25526
525167,542,3,431,1,0,0,0,2013,1,16,22059
239754,602,1,610,1,0,0,0,2013,5,6,18415
332806,101,4,777,1,1,0,0,2013,11,7,23773
142056,784,7,0,0,0,0,0,2013,6,30,0
673000,679,7,0,0,0,0,0,2013,11,17,23
567353,535,4,793,1,0,0,1,2014,8,14,20481
696641,844,4,516,1,1,0,0,2014,2,6,24770
628766,595,7,0,0,0,0,0,2015,5,24,0
544695,25,6,1831,1,0,0,0,2013,3,30,23955
652921,416,3,1819,1,1,0,0,2014,12,3,24309
436682,539,4,966,1,0,0,0,2015,1,22,22237
158580,77,3,642,1,1,0,0,2013,8,28,24934
184394,641,2,493,1,0,0,0,2013,7,9,18465
523534,445,6,1201,1,0,0,0,2015,1,10,20536
133026,318,5,822,1,1,0,0,2013,5,3,22739
296285,394,3,539,1,0,0,0,2013,11,13,21449
14477,761,5,1014,1,1,0,1,2014,2,7,11386
130799,706,2,578,1,1,0,0,2015,7,28,15022
17306,41,5,433,1,0,0,0,2014,2,28,27561
617975,894,1,958,1,0,0,1,2014,7,7,18675
668657,169,6,801,1,0,0,0,2014,5,3,25064
460228,1012,1,0,0,0,1,0,2014,6,9,142
26534,310,4,868,1,1,0,0,2013,8,29,23353
8504,1003,3,847,1,1,0,0,2014,1,22,20716
253700,970,3,429,1,1,0,0,2013,8,28,21322
586553,239,5,627,1,1,0,0,2013,9,27,23384
463307,998,1,647,1,1,0,0,2015,3,16,26706
245670,278,5,692,1,0,0,0,2013,6,14,21756
291128,49,2,539,1,0,0,1,2015,5,26,34228
615053,603,3,0,0,1,0,1,2013,8,28,448
263461,658,2,824,1,1,0,0,2013,4,30,18448
42414,1072,3,786,1,1,0,0,2013,2,6,20216
527688,1028,2,587,1,1,0,1,2013,10,22,22724
697845,288,4,489,1,1,0,0,2015,6,18,21712
28136,111,1,838,1,1,0,1,2015,3,30,25284
245444,581,2,703,1,1,0,0,2015,7,14,18453
394116,979,7,0,0,0,0,0,2013,5,12,0
601504,644,7,0,0,0,0,0,2015,2,22,0
349857,589,1,577,1,1,0,0,2013,6,3,22185
658989,295,2,619,1,0,0,0,2014,2,25,20588
73913,388,1,1586,1,1,0,0,2013,2,18,24077
579219,9,6,621,1,0,0,0,2014,10,4,23639
628094,445,4,1381,1,1,0,1,2013,8,29,20541
430442,204,4,445,1,0,0,1,2013,9,5,24756
694123,296,1,1011,1,1,0,0,2014,10,6,23581
637678,497,7,0,0,0,0,0,2015,5,24,193
697006,481,1,523,1,1,0,0,2013,2,18,25280
174454,1100,6,569,1,0,0,0,2014,12,6,17348
290329,588,6,614,1,0,0,0,2013,12,14,22770
79977,290,2,918,1,1,0,1,2014,1,7,22107
561228,1107,4,635,1,0,0,1,2015,5,28,21073
645402,1019,6,820,1,0,0,0,2014,1,25,22311
187053,945,5,545,1,0,0,0,2014,1,17,15444
545699,770,7,0,0,0,0,0,2014,10,26,0
101633,1041,4,0,0,1,1,1,2013,8,15,0
281213,433,3,898,1,1,0,1,2013,7,31,22163
303302,190,2,738,1,1,0,0,2013,11,19,26150
358148,843,3,962,1,1,0,1,2015,7,29,25547
686634,937,3,689,1,1,0,1,2013,3,27,22837
66159,333,7,0,0,0,0,0,2013,6,9,0
668588,302,3,337,1,1,0,0,2014,10,1,22334
402857,329,7,0,0,0,0,0,2015,3,29,0
354382,1034,6,290,1,0,0,0,2014,11,8,24519
12107,734,6,289,1,0,0,0,2015,1,10,14891
469435,892,4,861,1,1,0,0,2013,10,10,21429
500089,96,4,532,1,0,0,1,2013,4,4,28273
290988,578,2,762,1,0,0,0,2015,6,23,17782
178794,593,3,1035,1,0,0,0,2014,4,9,19119
624708,958,2,595,1,1,0,0,2014,5,6,21532
677489,944,5,1135,1,1,0,1,2014,9,5,18856
298677,524,5,913,1,0,0,0,2013,11,15,24373
703190,311,1,1049,1,0,0,1,2013,12,23,28948
130811,501,3,615,1,1,0,1,2015,2,18,24720
110239,1039,3,1233,1,1,0,1,2013,7,31,24471
624648,511,1,863,1,1,0,0,2014,7,14,26580
217090,58,4,594,1,1,0,0,2015,7,30,30429
110364,963,5,717,1,0,0,1,2015,7,24,20389
678970,860,4,638,1,1,0,0,2014,1,23,20666
418148,114,1,515,1,0,0,0,2015,6,8,23881
445220,20,3,753,1,0,0,1,2013,2,13,22746
126944,33,4,743,1,1,0,0,2013,6,20,25924
349411,255,2,621,1,1,0,0,2013,2,19,23517
630781,458,7,0,0,0,0,0,2014,9,21,83
463948,963,6,354,1,0,0,0,2013,8,24,20100
452373,167,7,0,0,0,0,0,2015,6,7,0
324245,849,6,861,1,0,0,0,2015,4,18,22101
222694,208,7,0,0,0,0,0,2014,6,29,0
48646,85,6,687,1,0,0,0,2013,11,9,24491
626354,341,7,0,0,0,0,0,2014,8,3,0
651600,841,5,425,1,0,0,0,2015,3,13,27778
85679,234,3,787,1,0,0,0,2013,11,27,29479
183869,333,7,0,0,0,0,0,2014,10,12,0
283159,78,7,0,0,0,0,0,2013,4,14,0
634703,764,7,0,0,0,0,0,2014,1,12,39
